,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,6782000000.0,10868000000.0,6570000000.0,3581000000.0
Minority Interest,72000000.0,65000000.0,41000000.0,44000000.0
Net Income,5365000000.0,8458000000.0,5104000000.0,2637000000.0
Selling General Administrative,12809000000.0,13660000000.0,13315000000.0,11141000000.0
Gross Profit,23159000000.0,24356000000.0,25256000000.0,16248000000.0
Ebit,8352000000.0,8714000000.0,8992000000.0,4872000000.0
Operating Income,8352000000.0,8714000000.0,8992000000.0,4872000000.0
Other Operating Expenses,,,,
Interest Expense,-1300000000.0,-1400000000.0,-1600000000.0,-280000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1367000000.0,2379000000.0,1450000000.0,935000000.0
Total Revenue,174274000000.0,160550000000.0,153743000000.0,48569000000.0
Total Operating Expenses,165922000000.0,151836000000.0,144751000000.0,43697000000.0
Cost Of Revenue,151115000000.0,136194000000.0,128487000000.0,32321000000.0
Total Other Income Expense Net,-1570000000.0,2154000000.0,-2422000000.0,-1291000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,5415000000.0,8489000000.0,5120000000.0,2646000000.0
Net Income Applicable To Common Shares,5365000000.0,8458000000.0,5104000000.0,2637000000.0
