,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,1742000000.0,1348000000.0,1126000000.0,1059000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,7598000000.0,4495000000.0,3305000000.0,2962000000.0
Minority Interest,10000000.0,11000000.0,11000000.0,12300000.0
Net Income,6433000000.0,3646000000.0,3008000000.0,2651000000.0
Selling General Administrative,8146000000.0,6858000000.0,5577000000.0,5356000000.0
Gross Profit,18056000000.0,13043000000.0,9984000000.0,9505000000.0
Ebit,8168000000.0,4837000000.0,3281000000.0,3090000000.0
Operating Income,8168000000.0,4837000000.0,3281000000.0,3090000000.0
Other Operating Expenses,,,,
Interest Expense,-238000000.0,-275000000.0,-108000000.0,-137000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1251000000.0,849000000.0,873000000.0,556000000.0
Total Revenue,29453000000.0,22284000000.0,17911000000.0,17049000000.0
Total Operating Expenses,21285000000.0,17447000000.0,14630000000.0,13959000000.0
Cost Of Revenue,11397000000.0,9241000000.0,7927000000.0,7544000000.0
Total Other Income Expense Net,-570000000.0,-342000000.0,24000000.0,-128000000.0
Discontinued Operations,86000000.0,86000000.0,576000000.0,245000000.0
Net Income From Continuing Ops,6347000000.0,3646000000.0,2432000000.0,2406000000.0
Net Income Applicable To Common Shares,6269000000.0,3510000000.0,2940000000.0,2651000000.0
