,2021-08-01,2020-08-02,2019-07-28,2018-07-29
Research Development,84000000.0,92000000.0,88000000.0,91000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1336000000.0,766000000.0,625000000.0,830000000.0
Minority Interest,2000000.0,6000000.0,9000000.0,9000000.0
Net Income,1002000000.0,1628000000.0,211000000.0,261000000.0
Selling General Administrative,1386000000.0,1519000000.0,1383000000.0,1177000000.0
Gross Profit,2814000000.0,3008000000.0,2711000000.0,2461000000.0
Ebit,1572000000.0,1334000000.0,1145000000.0,1404000000.0
Operating Income,1572000000.0,1334000000.0,1145000000.0,1404000000.0
Other Operating Expenses,-228000000.0,63000000.0,95000000.0,-211000000.0
Interest Expense,-210000000.0,-345000000.0,-356000000.0,-183000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,328000000.0,174000000.0,151000000.0,106000000.0
Total Revenue,8476000000.0,8691000000.0,8107000000.0,6615000000.0
Total Operating Expenses,6904000000.0,7357000000.0,6962000000.0,5211000000.0
Cost Of Revenue,5662000000.0,5683000000.0,5396000000.0,4154000000.0
Total Other Income Expense Net,-236000000.0,-568000000.0,-520000000.0,-574000000.0
Discontinued Operations,-6000000.0,1036000000.0,-263000000.0,-463000000.0
Net Income From Continuing Ops,1008000000.0,592000000.0,474000000.0,724000000.0
Net Income Applicable To Common Shares,1002000000.0,1628000000.0,211000000.0,261000000.0
