,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1325000000.0,-4256000000.0,2957000000.0,3164000000.0
Minority Interest,,,,
Net Income,977000000.0,-3074000000.0,2300000000.0,2465000000.0
Selling General Administrative,196000000.0,168000000.0,225000000.0,227000000.0
Gross Profit,2172000000.0,-1875000000.0,7020000000.0,7245000000.0
Ebit,-1171000000.0,-5041000000.0,2948000000.0,3180000000.0
Operating Income,-1171000000.0,-5041000000.0,2948000000.0,3180000000.0
Other Operating Expenses,1875000000.0,1743000000.0,2628000000.0,2637000000.0
Interest Expense,-431000000.0,-342000000.0,-82000000.0,-93000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,348000000.0,-1182000000.0,657000000.0,699000000.0
Total Revenue,15790000000.0,9048000000.0,22428000000.0,21965000000.0
Total Operating Expenses,16961000000.0,14089000000.0,19480000000.0,18785000000.0
Cost Of Revenue,13618000000.0,10923000000.0,15408000000.0,14720000000.0
Total Other Income Expense Net,2496000000.0,785000000.0,9000000.0,-16000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,977000000.0,-3074000000.0,2300000000.0,2465000000.0
Net Income Applicable To Common Shares,977000000.0,-3074000000.0,2300000000.0,2465000000.0
