,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,688000000.0,1131000000.0,914000000.0,907000000.0
Minority Interest,257000000.0,226000000.0,179000000.0,180000000.0
Net Income,410000000.0,1224000000.0,935000000.0,734000000.0
Selling General Administrative,1843000000.0,1327000000.0,1295000000.0,1264000000.0
Gross Profit,2863000000.0,2587000000.0,2371000000.0,2367000000.0
Ebit,1020000000.0,1260000000.0,1076000000.0,1103000000.0
Operating Income,1020000000.0,1260000000.0,1076000000.0,1103000000.0
Other Operating Expenses,,,,
Interest Expense,-278000000.0,-144000000.0,-159000000.0,-156000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,210000000.0,269000000.0,230000000.0,221000000.0
Total Revenue,8375000000.0,7188000000.0,6707000000.0,6654000000.0
Total Operating Expenses,7355000000.0,5928000000.0,5631000000.0,5551000000.0
Cost Of Revenue,5512000000.0,4601000000.0,4336000000.0,4287000000.0
Total Other Income Expense Net,-332000000.0,-129000000.0,-162000000.0,-196000000.0
Discontinued Operations,,414000000.0,296000000.0,98000000.0
Net Income From Continuing Ops,478000000.0,862000000.0,684000000.0,686000000.0
Net Income Applicable To Common Shares,406000000.0,1215000000.0,929000000.0,727000000.0
