,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1433000000.0,1728000000.0,2294000000.0,1022000000.0
Minority Interest,1797000000.0,1919000000.0,2075000000.0,2131000000.0
Net Income,1006000000.0,1219000000.0,2069000000.0,594000000.0
Selling General Administrative,3921000000.0,2716000000.0,2762000000.0,2510000000.0
Gross Profit,7576000000.0,6859000000.0,7392000000.0,6643000000.0
Ebit,2073000000.0,2784000000.0,3283000000.0,2735000000.0
Operating Income,2073000000.0,2784000000.0,3283000000.0,2735000000.0
Other Operating Expenses,,,,
Interest Expense,-677000000.0,-691000000.0,-720000000.0,-743000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,236000000.0,373000000.0,81000000.0,341000000.0
Total Revenue,12191000000.0,10671000000.0,11144000000.0,10553000000.0
Total Operating Expenses,10118000000.0,7887000000.0,7861000000.0,7818000000.0
Cost Of Revenue,4615000000.0,3812000000.0,3752000000.0,3910000000.0
Total Other Income Expense Net,-640000000.0,-1056000000.0,-989000000.0,-1713000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1197000000.0,1355000000.0,2213000000.0,681000000.0
Net Income Applicable To Common Shares,912000000.0,1091000000.0,1845000000.0,529000000.0
