,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-1089000000.0,2301000000.0,1950000000.0,1855000000.0
Minority Interest,,,,
Net Income,-648000000.0,1905000000.0,1693000000.0,1438000000.0
Selling General Administrative,-328000000.0,-249000000.0,-177000000.0,-76000000.0
Gross Profit,3010000000.0,3432000000.0,3593000000.0,3402000000.0
Ebit,2122000000.0,2396000000.0,2522000000.0,2320000000.0
Operating Income,2122000000.0,2396000000.0,2522000000.0,2320000000.0
Other Operating Expenses,,,,
Interest Expense,-571000000.0,-600000000.0,-569000000.0,-476000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-441000000.0,396000000.0,257000000.0,417000000.0
Total Revenue,9722000000.0,9603000000.0,10076000000.0,9696000000.0
Total Operating Expenses,7600000000.0,7207000000.0,7554000000.0,7376000000.0
Cost Of Revenue,6712000000.0,6171000000.0,6483000000.0,6294000000.0
Total Other Income Expense Net,-3211000000.0,-95000000.0,-572000000.0,-465000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-648000000.0,1905000000.0,1693000000.0,1438000000.0
Net Income Applicable To Common Shares,-648000000.0,1905000000.0,1693000000.0,1438000000.0
