,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,912390000.0,896684000.0,931279000.0,863671000.0
Minority Interest,,,,
Net Income,744959000.0,731773000.0,760790000.0,701466000.0
Selling General Administrative,10000000.0,9800000.0,9500000.0,9000000.0
Gross Profit,1317905000.0,1284426000.0,1320410000.0,1233332000.0
Ebit,1004015000.0,986663000.0,1023943000.0,953747000.0
Operating Income,1004015000.0,986663000.0,1023943000.0,953747000.0
Other Operating Expenses,273618000.0,252071000.0,242124000.0,230793000.0
Interest Expense,-83486000.0,-86704000.0,-84306000.0,-90076000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,167431000.0,164911000.0,170397000.0,162161000.0
Total Revenue,5112869000.0,4737921000.0,4527532000.0,4303751000.0
Total Operating Expenses,4108854000.0,3751258000.0,3503589000.0,3350004000.0
Cost Of Revenue,3794964000.0,3453495000.0,3207122000.0,3070419000.0
Total Other Income Expense Net,-91625000.0,-89979000.0,-92664000.0,-91076000.0
Discontinued Operations,,,-92000.0,-44000.0
Net Income From Continuing Ops,744959000.0,731773000.0,760882000.0,701510000.0
Net Income Applicable To Common Shares,744959000.0,731773000.0,760790000.0,701466000.0
