,2021-12-25,2020-12-26,2019-12-28,2018-12-29
Research Development,752000000.0,719000000.0,711000000.0,680000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,9821000000.0,9069000000.0,9312000000.0,9189000000.0
Minority Interest,108000000.0,98000000.0,82000000.0,84000000.0
Net Income,7618000000.0,7120000000.0,7314000000.0,12515000000.0
Selling General Administrative,29875000000.0,26988000000.0,25749000000.0,24227000000.0
Gross Profit,42429000000.0,38637000000.0,37178000000.0,35280000000.0
Ebit,11798000000.0,10936000000.0,10719000000.0,10376000000.0
Operating Income,11798000000.0,10936000000.0,10719000000.0,10376000000.0
Other Operating Expenses,4000000.0,-6000000.0,-1000000.0,-3000000.0
Interest Expense,-1799000000.0,-1257000000.0,-928000000.0,-1219000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2142000000.0,1894000000.0,1959000000.0,-3370000000.0
Total Revenue,79474000000.0,70372000000.0,67161000000.0,64661000000.0
Total Operating Expenses,67676000000.0,59436000000.0,56442000000.0,54285000000.0
Cost Of Revenue,37045000000.0,31735000000.0,29983000000.0,29381000000.0
Total Other Income Expense Net,-1977000000.0,-1867000000.0,-1407000000.0,-1187000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7679000000.0,7175000000.0,7353000000.0,12559000000.0
Net Income Applicable To Common Shares,7618000000.0,7120000000.0,7314000000.0,12513000000.0
