,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,710000000.0,1871000000.0,1141000000.0,1357000000.0
Minority Interest,214000000.0,195000000.0,192000000.0,211000000.0
Net Income,590000000.0,1804000000.0,990000000.0,1067000000.0
Selling General Administrative,1081000000.0,996000000.0,1103000000.0,1011000000.0
Gross Profit,2438000000.0,1950000000.0,2649000000.0,2733000000.0
Ebit,1209000000.0,810000000.0,1408000000.0,1598000000.0
Operating Income,1209000000.0,810000000.0,1408000000.0,1598000000.0
Other Operating Expenses,,,,
Interest Expense,-150000000.0,-164000000.0,-164000000.0,-141000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,101000000.0,49000000.0,132000000.0,250000000.0
Total Revenue,15618000000.0,13066000000.0,14357000000.0,14435000000.0
Total Operating Expenses,14409000000.0,12256000000.0,12949000000.0,12837000000.0
Cost Of Revenue,13180000000.0,11116000000.0,11708000000.0,11702000000.0
Total Other Income Expense Net,-499000000.0,1061000000.0,-267000000.0,-241000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,609000000.0,1822000000.0,1009000000.0,1107000000.0
Net Income Applicable To Common Shares,527000000.0,1769000000.0,990000000.0,1067000000.0
