,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2755000000.0,2229000000.0,1810000000.0,1672000000.0
Minority Interest,189000000.0,194000000.0,225000000.0,197000000.0
Net Income,2214000000.0,1778000000.0,1422000000.0,1310000000.0
Selling General Administrative,1465000000.0,1235000000.0,1171000000.0,1089000000.0
Gross Profit,4581000000.0,3896000000.0,3442000000.0,3197000000.0
Ebit,2859000000.0,2441000000.0,2071000000.0,1916000000.0
Operating Income,2859000000.0,2441000000.0,2071000000.0,1916000000.0
Other Operating Expenses,,,,
Interest Expense,-185000000.0,-163000000.0,-175000000.0,-196000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,541000000.0,452000000.0,381000000.0,352000000.0
Total Revenue,6218000000.0,5371000000.0,4829000000.0,4443000000.0
Total Operating Expenses,3359000000.0,2930000000.0,2758000000.0,2527000000.0
Cost Of Revenue,1637000000.0,1475000000.0,1387000000.0,1246000000.0
Total Other Income Expense Net,-104000000.0,-212000000.0,-261000000.0,-244000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2214000000.0,1777000000.0,1429000000.0,1320000000.0
Net Income Applicable To Common Shares,2214000000.0,1778000000.0,1422000000.0,1310000000.0
