,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,59562000000.0,35815000000.0,44866000000.0,40764000000.0
Minority Interest,,,,
Net Income,48334000000.0,29131000000.0,36431000000.0,32474000000.0
Selling General Administrative,65874000000.0,60715000000.0,60182000000.0,57417000000.0
Gross Profit,130898000000.0,102471000000.0,110134000000.0,103744000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,59988000000.0,36930000000.0,45105000000.0,40836000000.0
Other Operating Expenses,5036000000.0,4826000000.0,4847000000.0,5491000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,11228000000.0,6684000000.0,8435000000.0,8290000000.0
Total Revenue,130898000000.0,102471000000.0,110134000000.0,103744000000.0
Total Operating Expenses,70910000000.0,65541000000.0,65029000000.0,62908000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-426000000.0,-1115000000.0,-239000000.0,-72000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,48334000000.0,29131000000.0,36431000000.0,32474000000.0
Net Income Applicable To Common Shares,46503000000.0,27410000000.0,34642000000.0,30709000000.0
