,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-2557000000.0,-8822000000.0,3914000000.0,2648000000.0
Minority Interest,,,,
Net Income,-1964000000.0,-7069000000.0,3009000000.0,2122000000.0
Selling General Administrative,776000000.0,546000000.0,1863000000.0,1769000000.0
Gross Profit,3265000000.0,-2471000000.0,14782000000.0,13194000000.0
Ebit,-4330000000.0,-8904000000.0,4568000000.0,3670000000.0
Operating Income,-4330000000.0,-8904000000.0,4568000000.0,3670000000.0
Other Operating Expenses,4334000000.0,3399000000.0,6063000000.0,5590000000.0
Interest Expense,-1577000000.0,-992000000.0,-646000000.0,-605000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-593000000.0,-1753000000.0,905000000.0,526000000.0
Total Revenue,24634000000.0,15355000000.0,43259000000.0,41303000000.0
Total Operating Expenses,28964000000.0,24259000000.0,38691000000.0,37633000000.0
Cost Of Revenue,21369000000.0,17826000000.0,28477000000.0,28109000000.0
Total Other Income Expense Net,1773000000.0,82000000.0,-654000000.0,-1022000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1964000000.0,-7069000000.0,3009000000.0,2122000000.0
Net Income Applicable To Common Shares,-1964000000.0,-7069000000.0,3009000000.0,2122000000.0
