,2022-01-30,2021-01-31,2020-02-02,2019-02-03
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,21737000000.0,16978000000.0,14715000000.0,14556000000.0
Minority Interest,,,,
Net Income,16433000000.0,12866000000.0,11242000000.0,11121000000.0
Selling General Administrative,25144000000.0,22237000000.0,19740000000.0,19513000000.0
Gross Profit,50832000000.0,44853000000.0,37572000000.0,37160000000.0
Ebit,23302000000.0,20488000000.0,15843000000.0,15777000000.0
Operating Income,23302000000.0,20488000000.0,15843000000.0,15777000000.0
Other Operating Expenses,,,,
Interest Expense,-1347000000.0,-1347000000.0,-1201000000.0,-1051000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5304000000.0,4112000000.0,3473000000.0,3435000000.0
Total Revenue,151157000000.0,132110000000.0,110225000000.0,108203000000.0
Total Operating Expenses,127855000000.0,111622000000.0,94382000000.0,92426000000.0
Cost Of Revenue,100325000000.0,87257000000.0,72653000000.0,71043000000.0
Total Other Income Expense Net,-1565000000.0,-3510000000.0,-1128000000.0,-1221000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,16433000000.0,12866000000.0,11242000000.0,11121000000.0
Net Income Applicable To Common Shares,16433000000.0,12866000000.0,11242000000.0,11121000000.0
