,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1526200000.0,1136100000.0,901000000.0,1330800000.0
Minority Interest,304500000.0,319000000.0,319000000.0,319000000.0
Net Income,1358100000.0,1023400000.0,695800000.0,535500000.0
Selling General Administrative,1745300000.0,1515800000.0,1528800000.0,1612900000.0
Gross Profit,2897700000.0,2595200000.0,2900100000.0,2884900000.0
Ebit,1152400000.0,1079400000.0,1371300000.0,1272000000.0
Operating Income,1152400000.0,1079400000.0,1371300000.0,1272000000.0
Other Operating Expenses,,,,-16300000.0
Interest Expense,-94600000.0,-103500000.0,-98200000.0,-73000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,181900000.0,112900000.0,205200000.0,795300000.0
Total Revenue,6997400000.0,6329800000.0,6694800000.0,6666000000.0
Total Operating Expenses,5845000000.0,5250400000.0,5323500000.0,5394000000.0
Cost Of Revenue,4099700000.0,3734600000.0,3794700000.0,3781100000.0
Total Other Income Expense Net,373800000.0,56700000.0,-470300000.0,58800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1344300000.0,1023200000.0,695800000.0,535500000.0
Net Income Applicable To Common Shares,1356000000.0,1022400000.0,695100000.0,535000000.0
