,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,836400000.0,877800000.0,826300000.0,529300000.0
Effect Of Accounting Charges,,,,
Income Before Tax,339500000.0,150400000.0,204500000.0,737300000.0
Minority Interest,,,,
Net Income,349400000.0,570600000.0,355900000.0,255400000.0
Selling General Administrative,610300000.0,676600000.0,682900000.0,453900000.0
Gross Profit,3378800000.0,3242100000.0,2931300000.0,2420700000.0
Ebit,999800000.0,693800000.0,748000000.0,952000000.0
Operating Income,999800000.0,693800000.0,748000000.0,952000000.0
Other Operating Expenses,,,,
Interest Expense,-356900000.0,-497300000.0,-502900000.0,-199000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-9900000.0,-420200000.0,-151400000.0,481900000.0
Total Revenue,5438400000.0,5274200000.0,5349500000.0,3980800000.0
Total Operating Expenses,4438600000.0,4580400000.0,4601500000.0,3028800000.0
Cost Of Revenue,2059600000.0,2032100000.0,2418200000.0,1560100000.0
Total Other Income Expense Net,-660300000.0,-543400000.0,-543500000.0,-214700000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,349400000.0,570600000.0,355900000.0,255400000.0
Net Income Applicable To Common Shares,349400000.0,570600000.0,355900000.0,255400000.0
