,2021-10-30,2020-10-31,2019-11-02,2018-11-03
Research Development,1296126000.0,1050519000.0,1130348000.0,1165047000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1328714000.0,1311617000.0,1485728000.0,1655314000.0
Minority Interest,,,,
Net Income,1390422000.0,1220761000.0,1363011000.0,1506980000.0
Selling General Administrative,918697000.0,660924000.0,647897000.0,696597000.0
Gross Profit,4525012000.0,3690478000.0,4013750000.0,4250396000.0
Ebit,1773378000.0,1549580000.0,1806464000.0,1959850000.0
Operating Income,1773378000.0,1549580000.0,1806464000.0,1959850000.0
Other Operating Expenses,,,,
Interest Expense,-184825000.0,-193305000.0,-229075000.0,-253589000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-61708000.0,90856000.0,122717000.0,148334000.0
Total Revenue,7318286000.0,5603056000.0,5991065000.0,6224689000.0
Total Operating Expenses,5544908000.0,4053476000.0,4184601000.0,4264839000.0
Cost Of Revenue,2793274000.0,1912578000.0,1977315000.0,1974293000.0
Total Other Income Expense Net,-444664000.0,-237963000.0,-320736000.0,-304536000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1390422000.0,1220761000.0,1363011000.0,1506980000.0
Net Income Applicable To Common Shares,1390422000.0,1220761000.0,1359782000.0,1501071000.0
