,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2219000000.0,661000000.0,3165000000.0,2506000000.0
Minority Interest,1098000000.0,1130000000.0,1147000000.0,1519000000.0
Net Income,1784000000.0,119000000.0,2190000000.0,1609000000.0
Selling General Administrative,655000000.0,648000000.0,590000000.0,601000000.0
Gross Profit,7749000000.0,6680000000.0,7355000000.0,7201000000.0
Ebit,4540000000.0,3492000000.0,3857000000.0,3882000000.0
Operating Income,4540000000.0,3492000000.0,3857000000.0,3882000000.0
Other Operating Expenses,419000000.0,376000000.0,423000000.0,342000000.0
Interest Expense,-1492000000.0,-1595000000.0,-1801000000.0,-1917000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,369000000.0,481000000.0,926000000.0,587000000.0
Total Revenue,16610000000.0,11700000000.0,13209000000.0,14144000000.0
Total Operating Expenses,12070000000.0,8208000000.0,9352000000.0,10262000000.0
Cost Of Revenue,8861000000.0,5020000000.0,5854000000.0,6943000000.0
Total Other Income Expense Net,-2321000000.0,-2831000000.0,-692000000.0,-1376000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1850000000.0,180000000.0,2239000000.0,1919000000.0
Net Income Applicable To Common Shares,1770000000.0,106000000.0,2178000000.0,1473000000.0
