,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,324100000.0,273900000.0,326600000.0,306100000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2378600000.0,1657900000.0,3099200000.0,2810200000.0
Minority Interest,,,,
Net Income,1852100000.0,1298400000.0,2387900000.0,2195100000.0
Selling General Administrative,468900000.0,408900000.0,502400000.0,470200000.0
Gross Profit,3162000000.0,2301000000.0,3863000000.0,3519500000.0
Ebit,2369000000.0,1618200000.0,3034000000.0,2743200000.0
Operating Income,2369000000.0,1618200000.0,3034000000.0,2743200000.0
Other Operating Expenses,,,,
Interest Expense,-7400000.0,-8700000.0,-12100000.0,-12100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,526500000.0,359500000.0,711300000.0,615100000.0
Total Revenue,23522300000.0,18728500000.0,25599700000.0,23495700000.0
Total Operating Expenses,21153300000.0,17110300000.0,22565700000.0,20752500000.0
Cost Of Revenue,20360300000.0,16427500000.0,21736700000.0,19976200000.0
Total Other Income Expense Net,9600000.0,39700000.0,65200000.0,67000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1852100000.0,1298400000.0,2387900000.0,2195100000.0
Net Income Applicable To Common Shares,1852100000.0,1298400000.0,2387900000.0,2195100000.0
