,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,31562000000.0,27573000000.0,26018000000.0,21419000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,90734000000.0,48082000000.0,39625000000.0,34913000000.0
Minority Interest,,,,
Net Income,76033000000.0,40269000000.0,34343000000.0,30736000000.0
Selling General Administrative,36422000000.0,28998000000.0,28015000000.0,23256000000.0
Gross Profit,146698000000.0,97795000000.0,89961000000.0,77270000000.0
Ebit,78714000000.0,41224000000.0,35928000000.0,32595000000.0
Operating Income,78714000000.0,41224000000.0,35928000000.0,32595000000.0
Other Operating Expenses,,,,
Interest Expense,-346000000.0,-135000000.0,-100000000.0,-114000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,14701000000.0,7813000000.0,5282000000.0,4177000000.0
Total Revenue,257637000000.0,182527000000.0,161857000000.0,136819000000.0
Total Operating Expenses,178923000000.0,141303000000.0,125929000000.0,104224000000.0
Cost Of Revenue,110939000000.0,84732000000.0,71896000000.0,59549000000.0
Total Other Income Expense Net,12020000000.0,6858000000.0,3697000000.0,2318000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,76033000000.0,40269000000.0,34343000000.0,30736000000.0
Net Income Applicable To Common Shares,76033000000.0,40269000000.0,34343000000.0,30736000000.0
