,2021-09-30,2020-09-30,2019-09-30
Research Development,63000000.0,61000000.0,62000000.0
Effect Of Accounting Charges,,,
Income Before Tax,495000000.0,486000000.0,500000000.0
Minority Interest,,,
Net Income,415000000.0,428000000.0,432000000.0
Selling General Administrative,240000000.0,215000000.0,222000000.0
Gross Profit,800000000.0,763000000.0,786000000.0
Ebit,492000000.0,487000000.0,502000000.0
Operating Income,492000000.0,487000000.0,502000000.0
Other Operating Expenses,5000000.0,5000000.0,5000000.0
Interest Expense,,,
Extraordinary Items,,,
Non Recurring,,,
Other Items,,,
Income Tax Expense,80000000.0,58000000.0,68000000.0
Total Revenue,1165000000.0,1086000000.0,1109000000.0
Total Operating Expenses,673000000.0,599000000.0,607000000.0
Cost Of Revenue,365000000.0,323000000.0,323000000.0
Total Other Income Expense Net,3000000.0,-1000000.0,-2000000.0
Discontinued Operations,,,
Net Income From Continuing Ops,415000000.0,428000000.0,432000000.0
Net Income Applicable To Common Shares,415000000.0,428000000.0,432000000.0
